Game	3D	Time 	Rate	UMUX	Engagement	Enjoyment
1	1	30.2	14	87.5	100	95
1	1	41.6	15	95.83333333	67.85714286	80
1	1	38	12	79.16666667	75	65
1	1	18.2	16	87.5	96.42857143	100
1	1	31.8	15	91.66666667	96.42857143	90
1	1	46.25	13	100	100	100
1	1	29.8	16	95.83333333	85.71428571	100
1	1	37	14	100	92.85714286	90
1	0	32.6	15	75	85.71428571	95
1	0	52.2	13	100	85.71428571	100
1	0	27	13	66.66666667	89.28571429	85
1	0	55.2	13	83.33333333	92.85714286	100
1	0	32.25	13	87.5	100	90
1	0	45.8	15	70.83333333	92.85714286	80
1	0	34.8	14	91.66666667	100	100
1	0	22.5	13	66.66666667	78.57142857	75
0	1	56.4	11	87.5	64.28571429	100
0	1	30.8	16	75	96.42857143	85
0	1	51.25	10	91.66666667	92.85714286	85
0	1	67	11	66.66666667	82.14285714	95
0	1	54.5	5	91.66666667	78.57142857	95
0	1	26	13	50	85.71428571	95
0	1	70	8	62.5	82.14285714	70
0	1	38	9	95.83333333	82.14285714	95
0	0	67	8	75	78.57142857	90
0	0	31.2	12	100	100	100
0	0	79.5	8	100	100	100
0	0	46.6	14	66.66666667	89.28571429	85
0	0	55	13	50	53.57142857	50
0	0	64	7	87.5	78.57142857	85
0	0	46.5	8	58.33333333	92.85714286	85
0	0	52	7	100	85.71428571	100
